2,100,100
1,200,200
3,300,300
4,400,400
10,500,500
11,600,600
19,800,800
7,1000,1000
16,1200,1200
9,1500,1500
19,2000,2000
37,2400,2400
17,3000,3000
37,4000,4000
92,5000,5000
97,6000,6000
77,8000,8000
171,10000,10000
259,12000,12000
78,15000,15000
2,100,100
4,200,200
4,300,300
3,400,400
12,500,500
7,600,600
6,800,800
7,1000,1000
27,1200,1200
26,1500,1500
43,2000,2000
48,2400,2400
48,3000,3000
100,4000,4000
64,5000,5000
98,6000,6000
176,8000,8000
177,10000,10000
272,12000,12000
253,15000,15000
2,100,100
1,200,200
3,300,300
4,400,400
3,500,500
6,600,600
6,800,800
11,1000,1000
22,1200,1200
19,1500,1500
